id,x,y
19,8.75,4.07
19,12.0,3.55
19,12.0,3.4
19,15.0,3.97
19,17.0,3.19
19,12.0,3.77
19,9.25,2.78
19,12.0,5.26
19,10.0,4.27
19,12.0,3.82
19,14.0,5.86
19,13.0,5.38
19,17.0,3.81
19,12.0,4.2
19,15.0,2.94
20,7.0,6.28
20,12.0,5.9
20,18.0,4.04
20,9.0,3.82
20,9.0,4.18
20,12.0,4.35
20,10.0,4.0
20,6.0,6.29
20,10.0,4.98
20,13.5,3.99
20,11.0,5.03
20,9.0,5.17
20,12.0,2.97
20,11.0,3.79
20,13.5,6.79
20,1.0,6.01
20,11.0,5.35
20,9.5,5.7
